ID_PRODUTO;DATA_INICIO;DATA_FIM;PRECO
1;2020-01-01;2020-02-01;2404.76
2;2020-01-01;2020-02-01;369.35
3;2020-01-01;2020-02-01;4524.87
4;2020-01-01;2020-02-01;1227.98
5;2020-01-01;2020-02-01;423.46
6;2020-01-01;2020-02-01;671.68
7;2020-01-01;2020-02-01;2843.71
8;2020-01-01;2020-02-01;235.53
9;2020-01-01;2020-02-01;52.71
10;2020-01-01;2020-02-01;185.89
11;2020-01-01;2020-02-01;71.24
12;2020-01-01;2020-02-01;4679.42
13;2020-01-01;2020-02-01;1820.23
14;2020-01-01;2020-02-01;2298.74
15;2020-01-01;2020-02-01;2918.72
16;2020-01-01;2020-02-01;247.76
17;2020-01-01;2020-02-01;1824.96
18;2020-01-01;2020-02-01;546.08
19;2020-01-01;2020-02-01;684.78
20;2020-01-01;2020-02-01;3158.94
21;2020-01-01;2020-02-01;159.76
22;2020-01-01;2020-02-01;158.62
23;2020-01-01;2020-02-01;126.51
24;2020-01-01;2020-02-01;239.24
25;2020-01-01;2020-02-01;875.63
26;2020-01-01;2020-02-01;461.34
27;2020-01-01;2020-02-01;771.41
28;2020-01-01;2020-02-01;167.06
29;2020-01-01;2020-02-01;124.39
30;2020-01-01;2020-02-01;206.82
31;2020-01-01;2020-02-01;102.4
32;2020-01-01;2020-02-01;320.65
33;2020-01-01;2020-02-01;401.18
34;2020-01-01;2020-02-01;186.61
35;2020-01-01;2020-02-01;286.79
36;2020-01-01;2020-02-01;292.05
37;2020-01-01;2020-02-01;94.94
38;2020-01-01;2020-02-01;950.77
39;2020-01-01;2020-02-01;105.26
40;2020-01-01;2020-02-01;107.77
41;2020-01-01;2020-02-01;1641.87
42;2020-01-01;2020-02-01;3273.75
43;2020-01-01;2020-02-01;284.49
44;2020-01-01;2020-02-01;348.48
45;2020-01-01;2020-02-01;203.11
46;2020-01-01;2020-02-01;1205.67
47;2020-01-01;2020-02-01;267.35
48;2020-01-01;2020-02-01;90.33
49;2020-01-01;2020-02-01;152.72
50;2020-01-01;2020-02-01;1281.89
51;2020-01-01;2020-02-01;155.16
52;2020-01-01;2020-02-01;718.69
53;2020-01-01;2020-02-01;124.11
54;2020-01-01;2020-02-01;160.63
55;2020-01-01;2020-02-01;72.5
56;2020-01-01;2020-02-01;633.46
57;2020-01-01;2020-02-01;434.73
58;2020-01-01;2020-02-01;152.29
59;2020-01-01;2020-02-01;180.43
60;2020-01-01;2020-02-01;179.96
61;2020-01-01;2020-02-01;873.55
62;2020-01-01;2020-02-01;84.24
63;2020-01-01;2020-02-01;3006.57
64;2020-01-01;2020-02-01;53.58
65;2020-01-01;2020-02-01;289.51
66;2020-01-01;2020-02-01;265.1
67;2020-01-01;2020-02-01;112.14
68;2020-01-01;2020-02-01;191.65
69;2020-01-01;2020-02-01;84.65
70;2020-01-01;2020-02-01;78.79
71;2020-01-01;2020-02-01;327.94
72;2020-01-01;2020-02-01;263.82
73;2020-01-01;2020-02-01;306.16
74;2020-01-01;2020-02-01;314.55
75;2020-01-01;2020-02-01;170.12
76;2020-01-01;2020-02-01;164.91
77;2020-01-01;2020-02-01;426.1
78;2020-01-01;2020-02-01;247.28
79;2020-01-01;2020-02-01;130.18
80;2020-01-01;2020-02-01;196.08
81;2020-01-01;2020-02-01;2926.27
82;2020-01-01;2020-02-01;77.25
83;2020-01-01;2020-02-01;316.27
84;2020-01-01;2020-02-01;536.37
85;2020-01-01;2020-02-01;108.17
86;2020-01-01;2020-02-01;1519.51
87;2020-01-01;2020-02-01;246.92
88;2020-01-01;2020-02-01;498.06
89;2020-01-01;2020-02-01;109.22
90;2020-01-01;2020-02-01;109.05
91;2020-01-01;2020-02-01;922.31
92;2020-01-01;2020-02-01;146.5
93;2020-01-01;2020-02-01;100.99
94;2020-01-01;2020-02-01;122.64
95;2020-01-01;2020-02-01;143.33
96;2020-01-01;2020-02-01;131.42
97;2020-01-01;2020-02-01;677.96
98;2020-01-01;2020-02-01;98.0
99;2020-01-01;2020-02-01;54.22
100;2020-01-01;2020-02-01;43.22
101;2020-01-01;2020-02-01;159.64
102;2020-01-01;2020-02-01;170.99
103;2020-01-01;2020-02-01;324.3
104;2020-01-01;2020-02-01;514.61
105;2020-01-01;2020-02-01;70.2
1;2020-02-01;2020-03-01;2313.01
2;2020-02-01;2020-03-01;378.6
3;2020-02-01;2020-03-01;5129.36
4;2020-02-01;2020-03-01;1248.86
5;2020-02-01;2020-03-01;439.59
6;2020-02-01;2020-03-01;656.85
7;2020-02-01;2020-03-01;3267.86
8;2020-02-01;2020-03-01;259.16
9;2020-02-01;2020-03-01;54.08
10;2020-02-01;2020-03-01;202.39
11;2020-02-01;2020-03-01;71.18
12;2020-02-01;2020-03-01;4787.78
13;2020-02-01;2020-03-01;1634.11
14;2020-02-01;2020-03-01;2165.86
15;2020-02-01;2020-03-01;3165.0
