id_produto,nome_produto,preco,id_categoria,categoria,descricao_produto,descricao_categoria
1,Smartphone X200,2200,1,Eletrônicos,Smartphone com 128GB de armazenamento e câmera dupla.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
2,Fone de Ouvido Bluetooth Z,350,1,Eletrônicos,Fone de ouvido sem fio com cancelamento de ruído.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
3,Notebook Pro 15,4800,2,Informática,Notebook com processador i7 e 16GB de RAM.,Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
4,Smartwatch S10,1200,1,Eletrônicos,Relógio inteligente com monitoramento de saúde.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
5,Cafeteira Automática,400,3,Utilidades Domésticas,Cafeteira elétrica com temporizador programável.,Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
6,Air Fryer 3.2L,650,4,Cozinha,Fritadeira elétrica sem óleo com capacidade de 3.2 litros.,Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
7,Geladeira Frost Free,3100,5,Electrodomésticos,Geladeira com freezer independente e economia de energia.,Aparelhos essenciais para a rotina doméstica como geladeiras micro-ondas e máquinas de lavar.
8,Tênis Running Max,250,6,Calçados,Tênis esportivo com amortecimento para corrida.,Sapatos tênis e outros tipos de calçados para diferentes ocasiões e estilos.
9,Camiseta Básica Branca,50,7,Vestuário,Camiseta de algodão com corte regular.,Roupas para todas as estações estilos e ocasiões.
10,Mochila Executiva,200,8,Viagem,Mochila resistente à água com compartimento para laptop.,Produtos para facilitar viagens como malas mochilas e acessórios.
11,Livro Python para Todos,70,9,Livros,Guia completo para iniciantes em programação Python.,Títulos variados para leitura e aprendizado em diversos gêneros e áreas.
12,Console GameStation 5,4500,1,Eletrônicos,Videogame de última geração com gráficos avançados.,Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
13,Bicicleta Mountain Bike,1800,10,Esporte,Bicicleta de 21 marchas com suspensão dupla.,Equipamentos e acessórios para prática de atividades físicas e esportes.
14,Colchão Ortopédico Queen,2200,3,Utilidades Domésticas,Colchão com suporte ergonômico e espuma de alta densidade.,Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
