id_categoria;categoria;descricao_categoria
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
2;Informática;Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
3;Utilidades Domésticas;Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
5;Electrodomésticos;Aparelhos essenciais para a rotina doméstica como geladeiras micro-ondas e máquinas de lavar.
6;Calçados;Sapatos tênis e outros tipos de calçados para diferentes ocasiões e estilos.
7;Vestuário;Roupas para todas as estações estilos e ocasiões.
8;Viagem;Produtos para facilitar viagens como malas mochilas e acessórios.
9;Livros;Títulos variados para leitura e aprendizado em diversos gêneros e áreas.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
10;Esporte;Equipamentos e acessórios para prática de atividades físicas e esportes.
3;Utilidades Domésticas;Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
11;Infantil;Produtos voltados para crianças como roupas brinquedos e itens escolares.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
12;Ferramentas;Equipamentos para manutenção reparos e construção.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
3;Utilidades Domésticas;Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
13;Moda;Acessórios e itens de estilo para complementar visuais e tendências.
2;Informática;Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
14;Móveis;Itens para mobiliar e decorar ambientes internos e externos.
2;Informática;Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
15;Decoração;Objetos e acessórios para personalizar e embelezar espaços.
15;Decoração;Objetos e acessórios para personalizar e embelezar espaços.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
14;Móveis;Itens para mobiliar e decorar ambientes internos e externos.
2;Informática;Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
15;Decoração;Objetos e acessórios para personalizar e embelezar espaços.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
16;Cuidados Pessoais;Produtos de higiene e bem-estar como cremes perfumes e kits de barbear.
14;Móveis;Itens para mobiliar e decorar ambientes internos e externos.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
3;Utilidades Domésticas;Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
10;Esporte;Equipamentos e acessórios para prática de atividades físicas e esportes.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
2;Informática;Produtos e acessórios relacionados a computadores como notebooks mouses e teclados.
15;Decoração;Objetos e acessórios para personalizar e embelezar espaços.
15;Decoração;Objetos e acessórios para personalizar e embelezar espaços.
15;Decoração;Objetos e acessórios para personalizar e embelezar espaços.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
10;Esporte;Equipamentos e acessórios para prática de atividades físicas e esportes.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
7;Vestuário;Roupas para todas as estações estilos e ocasiões.
14;Móveis;Itens para mobiliar e decorar ambientes internos e externos.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
15;Decoração;Objetos e acessórios para personalizar e embelezar espaços.
3;Utilidades Domésticas;Artigos práticos para facilitar as tarefas do dia a dia em casa como organizadores e ferramentas de limpeza.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
17;Iluminação;Luminárias lâmpadas e outros produtos para clarear e decorar ambientes.
18;Casa;Itens variados para uso doméstico e organização do lar.
19;Beleza;Cosméticos maquiagens e acessórios para cuidados estéticos.
20;Escritório;Móveis e materiais para escritórios e estudos.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
9;Livros;Títulos variados para leitura e aprendizado em diversos gêneros e áreas.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
21;Acessórios;Itens complementares para estilo e funcionalidade  como bolsas carteiras e relógios.
18;Casa;Itens variados para uso doméstico e organização do lar.
18;Casa;Itens variados para uso doméstico e organização do lar.
10;Esporte;Equipamentos e acessórios para prática de atividades físicas e esportes.
4;Cozinha;Utensílios e equipamentos para o preparo e armazenamento de alimentos como panelas e liquidificadores.
1;Eletrônicos;Dispositivos tecnológicos para entretenimento comunicação e tarefas diárias como smartphones e TVs.
