product_id,product_name,price,category_id,category_name,product_description,category_description
1,Smartphone X200,2200,1,Electronics,Smartphone with 128GB storage and dual camera,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
2,Bluetooth Headphone Z,350,1,Electronics,Wireless headphones with noise cancellation,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
3,Notebook Pro 15,4800,2,Computing,Notebook with i7 processor and 16GB RAM,Products and accessories related to computers such as notebooks mice and keyboards  
4,Smartwatch S10,1200,1,Electronics,Smartwatch with health monitoring,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
5,Automatic Coffee Maker,400,3,Home Utilities,Electric coffee maker with programmable timer,Practical items to facilitate daily household tasks such as organizers and cleaning tools  
6,Air Fryer 3.2L,650,4,Kitchen,Oil-free fryer with 3.2-liter capacity,Utensils and equipment for food preparation and storage such as pots and blenders  
7,Frost Free Refrigerator,3100,5,Appliances,Refrigerator with independent freezer and energy efficiency,Essential appliances for daily household routine such as refrigerators microwaves and washing machines  
8,Running Max Sneakers,250,6,Footwear,Sports shoes with cushioning for running,Shoes sneakers and other types of footwear for different occasions and styles  
9,Basic White T-Shirt,50,7,Clothing,Cotton t-shirt with regular fit,Clothes for all seasons styles and occasions  
10,Executive Backpack,200,8,Travel,Water-resistant backpack with laptop compartment,Products to facilitate travel such as suitcases backpacks and accessories  
11,Python for Everyone Book,70,9,Books,Complete guide for beginners in Python programming,Various titles for reading and learning in different genres and fields  
12,GameStation 5 Console,4500,1,Electronics,Next-generation video game console with advanced graphics,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
13,Mountain Bike,1800,10,Sports,21-speed bicycle with dual suspension,Equipment and accessories for practicing physical activities and sports  
14,Orthopedic Queen Mattress,2200,3,Home Utilities,Mattress with ergonomic support and high-density foam,Practical items to facilitate daily household tasks such as organizers and cleaning tools  
15,Smart TV 55 4K,3000,1,Electronics,Smart TV with Ultra HD resolution and built-in Wi-Fi,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
16,Bluetooth Speaker,250,1,Electronics,Portable speaker with long battery life,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
17,MediaTab 10 Tablet,1800,1,Electronics,Tablet with 10-inch screen and 64GB memory,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
18,Stainless Steel Cookware Set,500,4,Kitchen,Set with 5 stainless steel pieces,Utensils and equipment for food preparation and storage such as pots and blenders  
19,Baby Stroller,700,11,Baby,Foldable stroller with adjustable position,Products aimed at children such as clothes toys and school items  
20,XZ10 Camera,3500,1,Electronics,Compact camera with 20x optical zoom,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
21,50-Piece Tool Set,150,12,Tools,Complete kit with wrenches pliers and drill bits,Equipment for maintenance repairs and construction  
22,Turbo Mix Blender,150,4,Kitchen,High-power blender with 5 speeds,Utensils and equipment for food preparation and storage such as pots and blenders  
23,40cm Table Fan,120,3,Home Utilities,Fan with 3 speeds and adjustable tilt,Practical items to facilitate daily household tasks such as organizers and cleaning tools  
24,Classic Wristwatch,250,13,Fashion,Analog watch with leather strap,Accessories and style items to complement looks and trends  
25,Jet Multifunction Printer,800,2,Computing,Printer with scanner and Wi-Fi connectivity,Products and accessories related to computers such as notebooks mice and keyboards  
26,Planetary Mixer Pro,450,4,Kitchen,Mixer with 8 speeds and stainless steel bowl,Utensils and equipment for food preparation and storage such as pots and blenders  
27,3-Door Kitchen Cabinet,850,14,Furniture,Compact design cabinet with internal shelves,Items to furnish and decorate indoor and outdoor spaces  
28,RGB Gaming Mouse,180,2,Computing,Mouse with RGB lighting and high precision,Products and accessories related to computers such as notebooks mice and keyboards  
29,Electric Toaster,130,4,Kitchen,Toaster with temperature adjustment and defrosting,Utensils and equipment for food preparation and storage such as pots and blenders  
30,Floral Double Bedspread,200,15,Decoration,Printed bedspread with 100% cotton fabric,Objects and accessories to personalize and beautify spaces  
31,Luxury Bath Towel,100,15,Decoration,Large towel with soft touch and high absorption,Objects and accessories to personalize and beautify spaces  
32,Electric Grill,300,4,Kitchen,Portable grill with temperature control,Utensils and equipment for food preparation and storage such as pots and blenders  
33,Office Desk,400,14,Furniture,Modern design desk with cable management space,Items to furnish and decorate indoor and outdoor spaces  
34,Wi-Fi Router AC1200,180,2,Computing,Router with high speed and wide coverage,Products and accessories related to computers such as notebooks mice and keyboards  
35,Queen 4-Piece Bedding Set,280,15,Decoration,Fitted sheet set with elastic and pillowcases,Objects and accessories to personalize and beautify spaces  
36,Smart RGB Lamp,300,1,Electronics,Smart lamp with app control,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
37,Digital Scale,100,16,Personal Care,Weight control scale with illuminated display,Hygiene and wellness products such as creams perfumes and shaving kits  
38,Pro Gaming Chair,1000,14,Furniture,Ergonomic chair with height and tilt adjustment,Items to furnish and decorate indoor and outdoor spaces  
39,Fruit Juicer,110,4,Kitchen,Electric juicer with anti-drip spout,Utensils and equipment for food preparation and storage such as pots and blenders  
40,Ironing Board,100,3,Home Utilities,Foldable ironing board with height adjustment,Practical items to facilitate daily household tasks such as organizers and cleaning tools  
41,Speedy Electric Scooter,1500,10,Sports,Foldable scooter with rechargeable battery,Equipment and accessories for practicing physical activities and sports  
42,Vision 4K Drone,3200,1,Electronics,Drone with high-resolution camera and remote control,Technological devices for entertainment communication and daily tasks such as smartphones and TVs  
43,Slim Water Purifier,300,4,Kitchen,Compact purifier with activated carbon filter,Utensils and equipment for food preparation and storage such as pots and blenders  
44,RGB Mechanical Keyboard,350,2,Computing,Keyboard with mechanical switches and colorful lighting,Products and accessories related to computers such as notebooks mice and keyboards  
45,Round Wall Mirror,200,15,Decoration,Mirror with wooden frame,Objects and accessories to personalize and beautify spaces  
46,Crystal Chandelier,1200,15,Decoration,Hanging light fixture with elegant finish,Objects and accessories to personalize and beautify spaces  
47,Large Living Room Rug,250,15,Decoration,Soft and non-slip rug,Objects and accessories to personalize and beautify spaces  
48,Portable Charger 10000mAh,100,1,Electronics,Power bank with two USB ports.,Technological devices for entertainment communication and daily tasks such as smartphones and TVs.
49,Beach Chair,150,10,Sports,Lightweight and sturdy folding chair.,Equipment and accessories for practicing physical activities and sports.
50,4-Burner Stove,1200,4,Kitchen,Gas stove with automatic ignition.,Utensils and equipment for food preparation and storage such as pots and blenders.
51,Hoodie Sweatshirt,150,7,Clothing,Hoodie with kangaroo pocket.,Clothes for all seasons styles and occasions.
52,5-Drawer Dresser,750,14,Furniture,Spacious dresser with a modern finish.,Items for furnishing and decorating indoor and outdoor spaces.
53,Electric Popcorn Maker,120,4,Kitchen,Oil-free popcorn maker with quick preparation.,Utensils and equipment for food preparation and storage such as pots and blenders.
54,5-Piece Towel Set,150,15,Decoration,Set of towels for bath and face.,Objects and accessories for personalizing and beautifying spaces.
55,20L Kitchen Trash Can,80,3,Home Utilities,Trash can with pedal and removable lid.,Practical items to facilitate daily household tasks such as organizers and cleaning tools.
